,twitch_name,steam_name,match_score,twitch_clean,steam_clean
901,Keep Talking and Nobody Explodes,Keep Talking and Nobody Explodes,100,keep talking and nobody explodes,
905,Spike Volleyball,Spike Volleyball,100,spike volleyball,
907,Portal 2,Portal 2,100,portal 2,
911,Perseverance: Part 1,Perseverance: Part 1,100,perseverance part 1,
913,The Stanley Parable,The Stanley Parable,100,the stanley parable,
914,Dead or Alive 6,DEAD OR ALIVE 6,100,dead or alive 6,dead or alive 6
915,Eternal Edge +,Eternal Edge +,100,eternal edge,
918,Amnesia: The Dark Descent,Amnesia: The Dark Descent,100,amnesia the dark descent,
919,Darkest Dungeon,Darkest Dungeon®,100,darkest dungeon,darkest dungeon
921,Call of Duty 4: Modern Warfare,Call of Duty® 4: Modern Warfare®,100,call of duty 4 modern warfare,call of duty 4 modern warfare
923,DOOM Eternal,DOOM Eternal,100,doom eternal,
924,The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,100,the elder scrolls v skyrim,
926,Follia – Dear Father,Follia - Dear father,100,follia  dear father,follia  dear father
927,Neon Abyss,Neon Abyss,100,neon abyss,
930,Vampire Survivors,Vampire Survivors,100,vampire survivors,
934,Governor of Poker 3,Governor of Poker 3,100,governor of poker 3,
936,Metin2,Metin2,100,metin2,
939,Trials Rising,Trials® Rising,100,trials rising,trials rising
941,RimWorld,RimWorld,100,rimworld,
942,Super Bunny Man,Super Bunny Man,100,super bunny man,
943,Haunt Chaser,Haunt Chaser,100,haunt chaser,
947,In Silence,In Silence,100,in silence,
951,Cat Quest,Cat Quest,100,cat quest,
955,MY HERO ONE'S JUSTICE 2,MY HERO ONE'S JUSTICE 2,100,my hero one's justice 2,
957,Stream Games,Stream Games,100,stream games,
958,Speedrun,Speedrun,100,speedrun,
962,Call of Duty: Modern Warfare 3,Call of Duty®: Modern Warfare® 3,100,call of duty modern warfare 3,call of duty modern warfare 3
964,Garry's Mod,Garry's Mod,100,garry's mod,
967,Bonbon,Bonbon,100,bonbon,
968,Resident Evil: Revelations 2,Resident Evil Revelations 2,100,resident evil revelations 2,resident evil revelations 2
972,Windbound,Windbound,100,windbound,
973,Amnesia: A Machine for Pigs,Amnesia: A Machine for Pigs,100,amnesia a machine for pigs,
974,while True: learn(),while True: learn(),100,while true learn,
977,Yakuza 5 Remastered,Yakuza 5 Remastered,100,yakuza 5 remastered,
980,Little Nightmares II,Little Nightmares II,100,little nightmares ii,
981,BlazBlue: Cross Tag Battle,BlazBlue: Cross Tag Battle,100,blazblue cross tag battle,
993,It Steals,It Steals,100,it steals,
994,ElecHead,ElecHead,100,elechead,
995,Tangle Tower,Tangle Tower,100,tangle tower,
996,Monopoly Plus,MONOPOLY® PLUS,100,monopoly plus,monopoly plus
997,Dealer's Life 2,Dealer's Life 2,100,dealer's life 2,
999,Deponia Doomsday,Deponia Doomsday,100,deponia doomsday,
1001,Naruto Shippuden: Ultimate Ninja Storm 2,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,100,naruto shippuden ultimate ninja storm 2,naruto shippuden ultimate ninja storm 2
1005,DiRT Rally 2.0,DiRT Rally 2.0,100,dirt rally 20,
1008,Cry of Fear,Cry of Fear,100,cry of fear,
1009,Outlast,Outlast,100,outlast,
1011,Resident Evil 0,Resident Evil 0,100,resident evil 0,
1014,Europa Universalis IV,Europa Universalis IV,100,europa universalis iv,
1015,Retro,Retro,100,retro,
1016,We Happy Few,We Happy Few,100,we happy few,
1020,God of War,God of War,100,god of war,
1028,Baba is You,Baba Is You,100,baba is you,baba is you
1033,Days Gone,Days Gone,100,days gone,
1036,Deponia,Deponia,100,deponia,
1041,The Great Ace Attorney Chronicles,The Great Ace Attorney Chronicles,100,the great ace attorney chronicles,
1042,The Binding of Isaac,The Binding of Isaac,100,the binding of isaac,
1043,A Memoir Blue,A Memoir Blue,100,a memoir blue,
1044,OMORI,OMORI,100,omori,
1046,Gears 5,Gears 5,100,gears 5,
1053,Portal,Portal,100,portal,
1055,Persona 5 Strikers,Persona® 5 Strikers,100,persona 5 strikers,persona 5 strikers
1057,We Were Here Together,We Were Here Together,100,we were here together,
1058,Emily Wants To Play,Emily Wants To Play,100,emily wants to play,
1059,BUS SIMULATOR,BUS SIMULATOR,100,bus simulator,
1060,Grim Fandango Remastered,Grim Fandango Remastered,100,grim fandango remastered,
1061,The Sims 4,The Sims™ 4,100,the sims 4,the sims 4
1062,Whispering Willows,Whispering Willows,100,whispering willows,
1065,Cities: Skylines,Cities: Skylines,100,cities skylines,
1066,Omen Exitio: Plague,Omen Exitio: Plague,100,omen exitio plague,
1072,Limbo,LIMBO,100,limbo,limbo
1074,The Plan,The Plan,100,the plan,
1082,Heave Ho,Heave Ho,100,heave ho,
1088,Call of Duty: Black Ops,Call of Duty®: Black Ops,100,call of duty black ops,call of duty black ops
1089,Demeo,Demeo,100,demeo,
1090,Final Fantasy IX,FINAL FANTASY IX,100,final fantasy ix,final fantasy ix
1092,Outwars,Outwars,100,outwars,
1095,White Day: A Labyrinth Named School,White Day: A Labyrinth Named School,100,white day a labyrinth named school,
1096,Stream Racer,Stream Racer,100,stream racer,
1098,Quiplash,Quiplash,100,quiplash,
1102,Spelunky 2,Spelunky 2,100,spelunky 2,
1103,Hydroneer,Hydroneer,100,hydroneer,
1106,Left 4 Dead 2,Left 4 Dead 2,100,left 4 dead 2,
1108,Max Payne,Max Payne,100,max payne,
1110,FIFA 22,FIFA 22,100,fifa 22,
1113,Need for Speed Heat,Need for Speed™ Heat,100,need for speed heat,need for speed heat
1118,Oddworld: Abe's Oddysee,Oddworld: Abe's Oddysee®,100,oddworld abe's oddysee,oddworld abe's oddysee
1119,Unravel,Unravel,100,unravel,
1120,Bad End Theater,BAD END THEATER,100,bad end theater,bad end theater
1125,Eternal Return,Eternal Return,100,eternal return,
1126,What Remains of Edith Finch,What Remains of Edith Finch,100,what remains of edith finch,
1127,Dead Space,Dead Space,100,dead space,
1128,Supraland,Supraland,100,supraland,
1135,Ghost Master,Ghost Master®,100,ghost master,ghost master
1136,Persona 4 Arena Ultimax,Persona 4 Arena Ultimax,100,persona 4 arena ultimax,
1137,Indivisible,Indivisible,100,indivisible,
1138,The Wolf Among Us,The Wolf Among Us,100,the wolf among us,
1139,Rise of Nations: Extended Edition,Rise of Nations: Extended Edition,100,rise of nations extended edition,
1143,Sign of Silence,Sign of Silence,100,sign of silence,
