,twitch_name,steam_name,match_score,twitch_clean,steam_clean
796,Captain Tsubasa: Dream Team,,,captain tsubasa dream team,
797,Saw,,,saw,
799,Clanfolk,,,clanfolk,
800,Slither.io,,,slitherio,
801,Quattro chiacchiere,,,quattro chiacchiere,
803,The House of the Dead: Remake,,,the house of the dead remake,
807,Metal Gear Solid,,,metal gear solid,
809,Halo: The Master Chief Collection,,,halo the master chief collection,
811,Just Dance,,,just dance,
816,Contraband Police,,,contraband police,
817,Plants vs. Zombies,,,plants vs zombies,
818,Peggle,,,peggle,
819,The Lucky Dime Caper starring Donald Duck,,,the lucky dime caper starring donald duck,
820,Citizen Sleeper,,,citizen sleeper,
821,Call Of Duty: Modern Warfare,,,call of duty modern warfare,
822,Sorare,,,sorare,
824,Kentucky Route Zero,,,kentucky route zero,
825,Tunic,,,tunic,
827,Politics,,,politics,
830,Pokémon X/Y,,,pokmon xy,
831,Alice in Wonderland,,,alice in wonderland,
832,G.O.D: Mezame Yo to Yobu Koe ga Kikoe,,,god mezame yo to yobu koe ga kikoe,
833,PUBG: BATTLEGROUNDS,,,pubg battlegrounds,
834,We Were Here Forever,,,we were here forever,
835,World of Tanks,,,world of tanks,
836,Lady in a Leotard With a Gun,,,lady in a leotard with a gun,
837,Gears of War 4,,,gears of war 4,
838,The Legend of Zelda: Twilight Princess HD,,,the legend of zelda twilight princess hd,
839,Super Smash Bros. Melee,,,super smash bros melee,
840,The Dark Pictures Anthology: House of Ashes,,,the dark pictures anthology house of ashes,
842,The Warriors,,,the warriors,
843,Tom Clancy's The Division,,,tom clancy's the division,
845,New World,,,new world,
849,Sid Meier's Civilization VI,,,sid meier's civilization vi,
851,Super Smash Bros. Ultimate,,,super smash bros ultimate,
852,Labyrinthine,,,labyrinthine,
853,Metal Gear Acid 2,,,metal gear acid 2,
854,Quiz Show,,,quiz show,
855,Them and Us,,,them and us,
856,Jurassic Park,,,jurassic park,
858,Syberia: The World Before,,,syberia the world before,
859,Stream Arenas,,,stream arenas,
860,Train Sim World 2,,,train sim world 2,
862,Dark Messiah of Might and Magic,,,dark messiah of might and magic,
863,Dorfromantik,,,dorfromantik,
865,Ib,,,ib,
866,Board Games,,,board games,
867,Crime Patrol,,,crime patrol,
868,Fallout 76,,,fallout 76,
869,Backpack Hero,,,backpack hero,
871,Kind Words,,,kind words,
873,LEGO Star Wars: The Skywalker Saga,,,lego star wars the skywalker saga,
874,Pokémon Sword/Shield,,,pokmon swordshield,
875,Twister,,,twister,
876,Tomb Raider III: Adventures of Lara Croft,,,tomb raider iii adventures of lara croft,
877,Zero Escape: Virtue's Last Reward,,,zero escape virtue's last reward,
878,Pinturillo 2,,,pinturillo 2,
879,Poker,,,poker,
881,MotoGP 22,,,motogp 22,
882,Pokémon Legends: Arceus,,,pokmon legends arceus,
883,Sifu,,,sifu,
884,GhostWire: Tokyo,,,ghostwire tokyo,
885,Until Dawn,,,until dawn,
886,Assassin's Creed Valhalla,,,assassin's creed valhalla,
888,The Crew 2,,,the crew 2,
889,Train Simulator 2022,,,train simulator 2022,
890,Dinosaur Fossil Hunter,,,dinosaur fossil hunter,
892,WarioWare: Get It Together!,,,warioware get it together,
893,Total War: Rome II,,,total war rome ii,
895,Teenage Mutant Ninja Turtles,,,teenage mutant ninja turtles,
896,MediEvil,,,medievil,
897,Food & Drink,,,food  drink,
